date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:47	956/956	---M--	404	error ('Not%20Found')	text/html	etag:%223bc-4be1ebb173800%22	http://ieeevr.org/robots.txt		(from )
11:36:48	69424/69424	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20May%202020%2015:36:48%20GMT	http://ieeevr.org/2016/	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/index.html	(from )
11:36:48	82386/82386	---M--	200	added ('OK')	text/css	etag:%2255a537f5-141d2%22	http://ieeevr.org/2016/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.2.2	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style3a05.css	(from http://ieeevr.org/2016/)
11:36:49	26982/26982	---M--	200	added ('OK')	text/css	etag:%2255a537f5-6966%22	http://ieeevr.org/2016/wp-content/plugins/ultimate-social-media-icons/css/jquery-ui-1.10.4/jquery-ui-min.css?ver=4.2.2	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/wp-content/plugins/ultimate-social-media-icons/css/jquery-ui-1.10.4/jquery-ui-min3a05.css	(from http://ieeevr.org/2016/)
11:36:49	2114/2114	---MC-	200	added ('OK')	text/xml	etag:%22192b00987d701e420c5d3e4a4546443c%22	http://ieeevr.org/2016/feed/	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/feed/index.html	(from http://ieeevr.org/2016/)
11:36:50	2527/2527	---M--	200	added ('OK')	text/css	etag:%2256cd264a-9df%22	http://ieeevr.org/2016/wp-content/themes/flat/style.css?ver=4.2.2	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/wp-content/themes/flat/style3a05.css	(from http://ieeevr.org/2016/)
11:36:50	163367/163367	---M--	200	added ('OK')	text/css	etag:%2255a53904-27e27%22	http://ieeevr.org/2016/wp-content/themes/flat/assets/css/flat.min.css?ver=1.7.2	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/wp-content/themes/flat/assets/css/flat.minba3a.css	(from http://ieeevr.org/2016/)
11:36:50	1446/1446	---MC-	200	added ('OK')	text/xml	etag:%224eec1677321a84a9356ee4c672addae1%22	http://ieeevr.org/2016/comments/feed/	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/comments/feed/index.html	(from http://ieeevr.org/2016/)
11:36:50	733/733	---MC-	200	added ('OK')	text/xml	etag:%224eec1677321a84a9356ee4c672addae1%22	http://ieeevr.org/2016/home/feed/	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/2016/home/feed/index.html	(from http://ieeevr.org/2016/)
11:36:50	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202020%2015:36:50%20GMT	http://ieeevr.org/2016?sccss=1&ver=4.2.2	C:/Users/vel/Desktop/VR_Backups/2016temp3/vr2016attemp3/ieeevr.org/201689d4	(from http://ieeevr.org/2016/)
